OBJECTID,CRECID,OS12FIG,EASTING,NORTHING,TRUNK_NON,POSSDUPLIC,DEERSPP,INCCOUNTRY,INCCOUNTY,INCMONTH,INCROADNO,INCYEAR,PEOPLEINJY,PERSTITLE,REALINCDAT,YEARSPAN,OID_T
1243,12749411.000000,268371664196,268371.000000,664196.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2007.000000,0.000000,,10/06/2007,,2871.00000000
5472,12827295.000000,269254664203,269254.000000,664203.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,20/05/2012,,5575.00000000
3616,12824483.000000,269212664214,269212.000000,664214.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,09/07/2011,,5090.00000000
2057,12805113.000000,269248664271,269248.000000,664271.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2009.000000,0.000000,,04/05/2009,,19.00000000
4074,12827252.000000,269132664275,269132.000000,664275.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,01/05/2012,,6203.00000000
573,12751626.000000,269359664284,269359.000000,664284.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2008.000000,0.000000,,09/06/2008,,1891.00000000
8119,12755154.000000,269100664300,269100.000000,664300.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A89,2003.000000,0.000000,,27/05/2003,,11930.00000000
3606,12814235.000000,269310664318,269310.000000,664318.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2010.000000,0.000000,,17/10/2010,,4321.00000000
1454,12751431.000000,269039664378,269039.000000,664378.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2007.000000,0.000000,,14/05/2007,,3031.00000000
5649,12827734.000000,258024664425,258024.000000,664425.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,16/05/2012,,5599.00000000
